Timestamp,BTU10(Z21+22+23+24+25+26+27)_ReturnT (C),BTU10(Z21+22+23+24+25+26+27)_SupplyT (C),BTU11(Z32+33)_ReturnT (C),BTU11(Z32+33)_SupplyT (C),BTU13(Z31)_ReturnT (C),BTU13(Z31)_SupplyT (C),BTU5(Z2+3+4+5)_ReturnT (C),BTU5(Z2+3+4+5)_SupplyT (C),BTU6(Z1)_ReturnT (C),BTU6(Z1)_SupplyT (C),BTU7(Z14+15+16+17)_ReturnT (C),BTU7(Z14+15+16+17)_SupplyT (C),BTU8(Z11+12+13)_ReturnT (C),BTU8(Z11+12+13)_SupplyT (C),BTU10(Z21+22+23+24+25+26+27)_energy (kBTU/h),BTU10(Z21+22+23+24+25+26+27)_flow (GPM),BTU11(Z32+33)_energy (kBTU/h),BTU11(Z32+33)_flow (GPM),BTU13(Z31)_energy (kBTU/h),BTU13(Z31)_flow (GPM),BTU5(Z2+3+4+5)_energy (kBTU/h),BTU5(Z2+3+4+5)_flow (GPM),BTU6(Z1)_energy (kBTU/h),BTU6(Z1)_flow (GPM),BTU7(Z14+15+16+17)_energy (kBTU/h),BTU7(Z14+15+16+17)_flow (GPM),BTU8(Z11+12+13)_energy (kBTU/h),BTU8(Z11+12+13)_flow (GPM)
2023-06-02 23:00:00-04:00,23.84073074,23.71287508,24.07159798,23.97523922,25.95227496,25.98657099,20.95592068,21.42338442,22.62814635,22.14074841,22.32210322,23.172838,23.67810129,22.86548523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-03 00:00:00-04:00,23.52521155,23.26661357,23.75974111,23.60048513,25.14186788,25.0439309,20.63504509,21.07247134,22.08498941,21.56271454,21.86079527,22.71802761,23.42137923,22.32452025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-03 01:00:00-04:00,22.97982068,22.64940608,23.35320572,22.91893775,24.28543642,24.08599197,20.25642953,20.68562931,21.5046528,20.95932777,21.50885674,22.33421347,23.06588823,21.74608337,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-03 02:00:00-04:00,22.43979284,22.01519938,22.93844032,22.19770156,23.56922701,23.35101311,19.9190197,20.3710816,20.99092413,20.46203514,21.32087411,22.06125817,22.63629942,21.14745663,0,0,0,0,0,0,0,0,1.24E-05,0,0,0,0,0
2023-06-03 03:00:00-04:00,21.87613056,21.33835093,22.50188255,21.55659499,22.9164031,22.69744145,19.68802431,20.11402822,20.69154739,20.23115942,21.13838704,21.83092647,22.16012729,20.54790363,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-03 04:00:00-04:00,21.5674839,21.05484341,22.16502366,21.26991053,22.39824288,22.21048694,19.52669928,19.91975481,20.40584253,19.99902768,20.97524678,21.63738173,21.71558423,20.11439006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-03 05:00:00-04:00,21.34913445,20.84631065,21.86687823,21.04426624,21.97121097,21.81116592,19.34167057,19.74601357,20.09740519,19.72380398,20.82377999,21.46542733,21.33647876,19.80600802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-03 06:00:00-04:00,21.11237568,20.64542368,21.59290017,20.8460853,21.73695133,21.6154918,19.20676436,19.59229646,19.87759505,19.52518004,20.68951013,21.32309052,21.06265075,19.76038241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-03 07:00:00-04:00,21.10822409,20.74311214,21.46083966,20.91064467,21.51672674,21.46774179,19.24480283,19.58056302,19.89094,19.5508834,20.61312004,21.24160131,20.96039843,19.99339761,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-03 08:00:00-04:00,21.18525604,20.86708669,21.3874925,21.01471237,21.37535477,21.31729084,19.33377697,19.67464998,20.01607761,19.67053272,20.57999943,21.19307242,20.98385853,20.20894121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
